| Run on Sun Sep  7 15:07:37 2025
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                              energy.tpr
|Complex (GROMACS) topology file:                 MD/protein/p2bxdtopol_h1ea.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-578"
|Ligand mask:                    ":579"
|Ligand residue name is:         "UNL"
|
|Calculations performed using 200 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 300.00 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1841.50         35.47      35.47         2.51       2.51
ANGLE                  4760.24         52.96      52.96         3.74       3.74
DIHED                  6146.76         32.91      32.91         2.33       2.33
VDWAALS               -4679.05         34.69      34.69         2.45       2.45
EEL                  -42850.60        174.13     174.13        12.31      12.31
1-4 VDW                2173.56         18.66      18.66         1.32       1.32
1-4 EEL               27658.66         58.85      58.85         4.16       4.16
EGB                   -8936.73        159.02     159.02        11.24      11.24
ESURF                   213.04          3.49       3.49         0.25       0.25

GGAS                  -4948.93        201.20     184.20        14.23      13.02
GSOLV                 -8723.69        159.06     157.51        11.25      11.14

TOTAL                -13672.62        256.48      75.06        18.14       5.31

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1818.14         35.60      35.60         2.52       2.52
ANGLE                  4699.95         52.82      52.82         3.73       3.73
DIHED                  6065.47         32.27      32.27         2.28       2.28
VDWAALS               -4622.52         34.19      34.19         2.42       2.42
EEL                  -42454.63        173.32     173.32        12.26      12.26
1-4 VDW                2151.21         18.63      18.63         1.32       1.32
1-4 EEL               27212.17         58.44      58.44         4.13       4.13
EGB                   -8967.17        159.05     159.05        11.25      11.25
ESURF                   212.78          3.44       3.44         0.24       0.24

GGAS                  -5130.21        200.17     184.36        14.15      13.04
GSOLV                 -8754.39        159.09     157.57        11.25      11.14

TOTAL                -13884.60        255.69      74.38        18.08       5.26

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     23.35          4.16       4.16         0.29       0.29
ANGLE                    60.30          5.72       5.72         0.40       0.40
DIHED                    81.28          3.36       3.36         0.24       0.24
VDWAALS                 -13.64          2.71       2.71         0.19       0.19
EEL                    -336.03          4.30       4.30         0.30       0.30
1-4 VDW                  22.36          1.87       1.87         0.13       0.13
1-4 EEL                 446.49          4.52       4.52         0.32       0.32
EGB                     -48.57          2.95       2.95         0.21       0.21
ESURF                     6.25          0.09       0.09         0.01       0.01

GGAS                    284.11         10.54       7.95         0.75       0.56
GSOLV                   -42.33          2.95       2.96         0.21       0.21

TOTAL                   241.78         10.95       7.84         0.77       0.55

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          4.03       0.00         0.29       0.00
ΔANGLE                   -0.00          5.58       0.00         0.39       0.00
ΔDIHED                   -0.00          2.72       0.00         0.19       0.00
ΔVDWAALS                -42.89          2.22       3.48         0.16       0.25
ΔEEL                    -59.94          3.49      16.88         0.25       1.19
Δ1-4 VDW                 -0.00          1.84       0.00         0.13       0.00
Δ1-4 EEL                  0.00          4.11       0.00         0.29       0.00
ΔEGB                     79.01          2.92      14.88         0.21       1.05
ΔESURF                   -5.98          0.04       0.52         0.00       0.04

ΔGGAS                  -102.83          4.13      17.60         0.29       1.24
ΔGSOLV                   73.03          2.92      14.66         0.21       1.04

ΔTOTAL                  -29.80          5.06       4.53         0.36       0.32
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
