| Run on Mon Sep  8 21:07:55 2025
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                              energy.tpr
|Complex (GROMACS) topology file:                MD/protein/p2bxdtopol_h1ea1.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-578"
|Ligand mask:                    ":579"
|Ligand residue name is:         "UNL"
|
|Calculations performed using 200 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1841.07         34.44      34.44         2.44       2.44
ANGLE                  4736.60         50.13      50.13         3.55       3.55
DIHED                  6179.03         30.39      30.39         2.15       2.15
VDWAALS               -4741.66         34.77      34.77         2.46       2.46
EEL                  -42931.54        284.76     284.76        20.14      20.14
1-4 VDW                2177.26         19.78      19.78         1.40       1.40
1-4 EEL               27617.37         68.74      68.74         4.86       4.86
EGB                   -8776.17        232.80     232.80        16.46      16.46
ESURF                   210.06          3.70       3.70         0.26       0.26

GGAS                  -5121.87        303.38     261.81        21.45      18.51
GSOLV                 -8566.11        232.83     230.64        16.46      16.31

TOTAL                -13687.97        382.42      76.83        27.04       5.43

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1817.60         34.13      34.13         2.41       2.41
ANGLE                  4675.92         49.51      49.51         3.50       3.50
DIHED                  6094.40         30.29      30.29         2.14       2.14
VDWAALS               -4679.02         34.46      34.46         2.44       2.44
EEL                  -42572.13        282.90     282.90        20.00      20.00
1-4 VDW                2157.31         19.78      19.78         1.40       1.40
1-4 EEL               27187.64         67.89      67.89         4.80       4.80
EGB                   -8795.00        233.91     233.91        16.54      16.54
ESURF                   210.02          3.74       3.74         0.26       0.26

GGAS                  -5318.28        301.25     261.52        21.30      18.49
GSOLV                 -8584.98        233.94     231.72        16.54      16.39

TOTAL                -13903.26        381.42      76.10        26.97       5.38

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     23.47          4.10       4.10         0.29       0.29
ANGLE                    60.68          5.93       5.93         0.42       0.42
DIHED                    84.63          2.63       2.63         0.19       0.19
VDWAALS                 -14.94          2.82       2.82         0.20       0.20
EEL                    -337.21          4.64       4.64         0.33       0.33
1-4 VDW                  19.95          1.84       1.84         0.13       0.13
1-4 EEL                 429.73          4.70       4.70         0.33       0.33
EGB                     -29.41          1.33       1.33         0.09       0.09
ESURF                     6.06          0.04       0.04         0.00       0.00

GGAS                    266.31         10.67       7.37         0.75       0.52
GSOLV                   -23.35          1.33       1.33         0.09       0.09

TOTAL                   242.96         10.76       7.29         0.76       0.52

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          3.79       0.00         0.27       0.00
ΔANGLE                    0.00          5.31       0.00         0.38       0.00
ΔDIHED                    0.00          2.53       0.00         0.18       0.00
ΔVDWAALS                -47.70          2.51       3.08         0.18       0.22
ΔEEL                    -22.20          2.78       7.92         0.20       0.56
Δ1-4 VDW                  0.00          1.84       0.00         0.13       0.00
Δ1-4 EEL                  0.00          3.85       0.00         0.27       0.00
ΔEGB                     48.24          0.22       7.56         0.02       0.53
ΔESURF                   -6.01          0.00       0.50         0.00       0.04

ΔGGAS                   -69.89          3.74       9.11         0.26       0.64
ΔGSOLV                   42.22          0.22       7.27         0.02       0.51

ΔTOTAL                  -27.67          3.75       3.56         0.27       0.25
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
