| Run on Wed Sep 10 04:10:43 2025
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                              energy.tpr
|Complex (GROMACS) topology file:                 MD/protein/p2bxdtopol_h1eb.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-578"
|Ligand mask:                    ":579"
|Ligand residue name is:         "UNL"
|
|Calculations performed using 200 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1837.81         35.82      35.82         2.53       2.53
ANGLE                  4721.81         50.37      50.37         3.56       3.56
DIHED                  6167.69         34.15      34.15         2.41       2.41
VDWAALS               -4716.86         31.13      31.13         2.20       2.20
EEL                  -42917.35        198.11     198.11        14.01      14.01
1-4 VDW                2176.46         21.81      21.81         1.54       1.54
1-4 EEL               27620.89         62.70      62.70         4.43       4.43
EGB                   -8836.66        162.61     162.61        11.50      11.50
ESURF                   213.57          3.21       3.21         0.23       0.23

GGAS                  -5109.54        222.73     182.80        15.75      12.93
GSOLV                 -8623.09        162.64     160.97        11.50      11.38

TOTAL                -13732.64        275.79      71.00        19.50       5.02

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1815.84         36.21      36.21         2.56       2.56
ANGLE                  4667.06         50.22      50.22         3.55       3.55
DIHED                  6088.59         33.56      33.56         2.37       2.37
VDWAALS               -4667.83         30.60      30.60         2.16       2.16
EEL                  -42531.44        194.33     194.33        13.74      13.74
1-4 VDW                2156.06         21.75      21.75         1.54       1.54
1-4 EEL               27197.26         60.35      60.35         4.27       4.27
EGB                   -8875.38        162.58     162.58        11.50      11.50
ESURF                   212.86          3.15       3.15         0.22       0.22

GGAS                  -5274.46        218.57     182.42        15.46      12.90
GSOLV                 -8662.51        162.61     160.99        11.50      11.38

TOTAL                -13936.98        272.43      70.17        19.26       4.96

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     21.97          4.05       4.05         0.29       0.29
ANGLE                    54.75          5.50       5.50         0.39       0.39
DIHED                    79.11          2.95       2.95         0.21       0.21
VDWAALS                 -11.87          2.60       2.60         0.18       0.18
EEL                    -326.90          3.34       3.34         0.24       0.24
1-4 VDW                  20.40          1.89       1.89         0.13       0.13
1-4 EEL                 423.63          5.69       5.69         0.40       0.40
EGB                     -38.15          5.43       5.43         0.38       0.38
ESURF                     5.74          0.04       0.04         0.00       0.00

GGAS                    261.09         10.46      10.25         0.74       0.72
GSOLV                   -32.41          5.43       5.43         0.38       0.38

TOTAL                   228.67         11.78       7.06         0.83       0.50

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          3.66       0.00         0.26       0.00
ΔANGLE                    0.00          5.35       0.00         0.38       0.00
ΔDIHED                   -0.00          2.37       0.00         0.17       0.00
ΔVDWAALS                -37.16          2.07       3.07         0.15       0.22
ΔEEL                    -59.00          0.45      11.68         0.03       0.83
Δ1-4 VDW                  0.00          1.83       0.00         0.13       0.00
Δ1-4 EEL                  0.00          3.35       0.00         0.24       0.00
ΔEGB                     76.87          5.40       9.08         0.38       0.64
ΔESURF                   -5.03          0.02       0.36         0.00       0.03

ΔGGAS                   -96.16          2.12      11.52         0.15       0.81
ΔGSOLV                   71.84          5.40       8.90         0.38       0.63

ΔTOTAL                  -24.33          5.80       3.66         0.41       0.26
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
